day,session,start,end,room,kode_mk,nama,kelas,sks,dosen
Selasa,4,15:30,17:00,F203,BD201409,Manajemen Perubahan dan Transformasi Digital,A,2,Dosen BD-Foxtrot
Selasa,4,15:30,17:00,G303,SI201426,Inovasi dan Transformasi Digital,B,2,Dosen SI-Kilo
Rabu,1,08:00,10:30,E202,IF201511,Tata Kelola Teknologi Informasi,A,3,Dosen IF-Foxtrot
Rabu,1,08:00,10:30,E303,SI201734,Tugas Akhir,A,4,Dosen SI-Delta
Rabu,1,08:00,10:30,F104,BD201406,Manajemen Pemasaran,C,3,Dosen BD-India
Rabu,1,08:00,10:30,F304,SI201413,Desain Interaksi Antarmuka dan Pengalaman Pengguna,B,3,Dosen SI-Lima
Rabu,1,08:00,10:30,F306,SI201412,Pemrograman Web,A,3,Dosen SI-Juliet
Rabu,1,08:00,10:30,F307,SI201416,Perencanaan Manajemen Proyek Teknologi Informasi,B,3,Dosen SI-Alpha
Rabu,1,08:00,10:30,G105,IF201503,Komputasi Evolusioner,A,3,Dosen IF-Golf
Rabu,1,08:00,10:30,G201,BD201430,Manajemen Sosial Media,A,3,Dosen BD-Alpha
Rabu,1,08:00,10:30,G301,SI201422,Sistem Cerdas Pendukung Keputusan,A,3,Dosen SI-Foxtrot
Rabu,1,08:00,10:30,G304,BD201507,Internet of Things,A,3,Dosen BD-Charlie
Rabu,2,10:30,12:00,E104,SI201733,Proposal Tugas Akhir,A,2,Dosen SI-Papa
Rabu,2,10:30,12:00,G306,SI201426,Inovasi dan Transformasi Digital,A,2,Dosen SI-Kilo
Rabu,3,13:00,15:30,E205,TE201731,Tugas Akhir,A,6,"Dosen TE-Golf, Dosen TE-Papa"
Rabu,3,13:00,15:30,E301,IF201402,Matematika Diskrit,B,3,Dosen IF-Charlie
Rabu,3,13:00,15:30,E302,SI201425,Manajemen Layanan Teknologi Informasi,A,3,Dosen SI-India
Rabu,3,13:00,15:30,E303,TE201583,Aplikasi Komputer Bergerak,A,3,Dosen TE-Hotel
Rabu,3,13:00,15:30,E304,BD201423,Manajemen Produk,B,3,Dosen BD-Charlie
Rabu,3,13:00,15:30,F101,IF201410,Perancangan dan Analisis Algoritme,A,3,Dosen IF-Echo
Rabu,3,13:00,15:30,F102,BD201406,Manajemen Pemasaran,B,3,Dosen BD-India
Rabu,3,13:00,15:30,F205,TE201423,Teknologi Transduser,B,3,Dosen TE-November
Rabu,3,13:00,15:30,G101,BD201431,Metodologi Penelitian Bisnis Umum,A,4,Dosen BD-Golf
Rabu,3,13:00,15:30,G106,IF201403,Sistem Digital,A,3,Dosen IF-Kilo
Rabu,3,13:00,15:30,G204,TE201427,Sistem Mikroprosesor dan Mikrokontroler,A,3,Dosen TE-Charlie
Rabu,3,13:00,15:30,G304,SI201550,Kecerdasan Proses Bisnis,A,3,Dosen SI-Lima
Rabu,3,13:00,15:30,G305,BD201429,Manajemen Strategi,B,3,Dosen BD-Delta
Rabu,4,15:30,17:00,E305,IF201426,Startup Digital Lanjut,A,2,Dosen IF-Delta
Rabu,4,15:30,17:00,G201,TE201559,Kualitas Daya Listrik,A,2,Dosen TE-Juliet
Rabu,4,15:30,17:00,G304,TE201569,Sistem Pengendalian Mesin Listrik,A,2,Dosen TE-Foxtrot
Kamis,1,08:00,10:30,E106,IF201424,Pengembangan Aplikasi Berbasis Web,B,3,Dosen IF-Bravo
Kamis,1,08:00,10:30,E205,IF201413,Sistem Basis Data,B,3,Dosen IF-Delta
Kamis,1,08:00,10:30,E304,BD201430,Manajemen Sosial Media,B,3,Dosen BD-Alpha
Kamis,1,08:00,10:30,F102,IF201411,Jaringan Komputer,A,3,Dosen IF-Lima
Kamis,1,08:00,10:30,F103,BD201411,Pengembangan UI/UX,C,3,Dosen BD-Bravo
Kamis,1,08:00,10:30,F202,IF201513,Pemrograman Permainan Digital,A,3,Dosen IF-Golf
Kamis,1,08:00,10:30,F301,SI201403,Manajemen dan Organisasi,A,3,Dosen SI-Hotel
Kamis,1,08:00,10:30,F302,SI201414,Desain dan Manajemen Jaringan Komputer,B,4,Dosen SI-Bravo
