kode,nama,paralel,sks,hari,sesi,waktu,ruang,dosen
SI201414,Desain dan Manajemen Jaringan Komputer,1,4,Selasa,3,13:00-15:30,R02,Dosen SI-Bravo
SI201411,Kecerdasan Bisnis,2,3,Selasa,3,13:00-15:30,R03,Dosen SI-Oscar
SI201403,Manajemen dan Organisasi,2,3,Selasa,3,13:00-15:30,R04,Dosen SI-Hotel
SI201425,Manajemen Layanan Teknologi Informasi,1,3,Selasa,3,13:00-15:30,R05,Dosen SI-India
SI201535,Manajemen Sumber Daya Manusia,1,3,Selasa,3,13:00-15:30,R06,Dosen SI-Foxtrot
SI201412,Pemrograman Web,2,3,Selasa,3,13:00-15:30,R07,Dosen SI-Juliet
IF201413,Sistem Basis Data,1,3,Selasa,3,13:00-15:30,R08,Dosen IF-Delta
IF201508,Penjaminan Mutu Perangkat Lunak,1,3,Selasa,3,13:00-15:30,R09,Dosen IF-Bravo
BD201430,Manajemen Sosial Media,2,3,Selasa,3,13:00-15:30,R10,Dosen BD-Alpha
BD201429,Manajemen Strategi,1,3,Selasa,3,13:00-15:30,R11,Dosen BD-Delta
BD201408,Sistem Informasi Akuntansi,3,3,Selasa,3,13:00-15:30,R12,Dosen BD-Charlie
TE201425,Desain Sistem Pengaturan,1,3,Rabu,1,08:00-10:30,R01,Dosen TE-Juliet
TE201586,Visi Komputer,1,3,Rabu,1,08:00-10:30,R02,Dosen TE-Echo
SI201424,Keamanan Sistem Informasi,1,3,Rabu,1,08:00-10:30,R03,Dosen SI-Charlie
SI201546,Perencanaan Sumberdaya Perusahaan,1,3,Rabu,1,08:00-10:30,R04,Dosen SI-India
IF201403,Sistem Digital,1,3,Rabu,1,08:00-10:30,R05,Dosen IF-Kilo
IF201411,Jaringan Komputer,1,3,Rabu,1,08:00-10:30,R06,Dosen IF-Lima
IF201413,Sistem Basis Data,2,3,Rabu,1,08:00-10:30,R07,Dosen IF-Delta
IF201423,Pengolahan Citra Digital,2,3,Rabu,1,08:00-10:30,R08,Dosen IF-India
IF201424,Pengembangan Aplikasi Berbasis Web,1,3,Rabu,1,08:00-10:30,R09,Dosen IF-Bravo
BD201410,Akuntansi Manajemen,3,3,Rabu,1,08:00-10:30,R10,Dosen BD-Echo
BD201434,Manajemen Proyek,2,3,Rabu,1,08:00-10:30,R11,Dosen BD-Delta
BD201420,Pemrograman Aplikasi Perangkat Bergerak,1,3,Rabu,1,08:00-10:30,R12,Dosen BD-Golf
BD201411,Pengembangan UI/UX,2,3,Rabu,1,08:00-10:30,R13,Dosen BD-Bravo
BD201507,Internet of Things,1,3,Rabu,1,08:00-10:30,R14,Dosen BD-Charlie
TE201403,Matematika Diskrit,3,2,Rabu,2,10:30-12:00,R01,Dosen TE-Oscar
TE201404,Material Teknik Elektro,1,2,Rabu,2,10:30-12:00,R02,Dosen TE-Delta
TE201551,Kapita Selekta,1,2,Rabu,2,10:30-12:00,R03,Dosen TE-Bravo
SI201733,Proposal Tugas Akhir,1,2,Rabu,2,10:30-12:00,R04,Dosen SI-Papa
BD201432,Information Security,1,2,Rabu,2,10:30-12:00,R05,Dosen BD-Alpha
BD201409,Manajemen Perubahan dan Transformasi Digital,3,2,Rabu,2,10:30-12:00,R06,Dosen BD-Foxtrot
TE201416,Sinyal dan Sistem,1,3,Rabu,3,13:00-15:30,R01,Dosen TE-Romeo
TE201426,Sistem Komunikasi,1,4,Rabu,3,13:00-15:30,R02,Dosen TE-Echo
TE201427,Sistem Mikroprosesor dan Mikrokontroler,2,3,Rabu,3,13:00-15:30,R03,Dosen TE-Charlie
SI201413,Desain Interaksi Antarmuka dan Pengalaman Pengguna,2,3,Rabu,3,13:00-15:30,R04,Dosen SI-Lima
IF201411,Jaringan Komputer,2,3,Rabu,3,13:00-15:30,R05,Dosen IF-Lima
IF201414,Grafika Komputer,1,3,Rabu,3,13:00-15:30,R06,Dosen IF-Kilo
IF201415,Analisis dan Perancangan Perangkat Lunak,2,3,Rabu,3,13:00-15:30,R07,Dosen IF-India
IF201514,Kapita Selekta,1,3,Rabu,3,13:00-15:30,R08,Dosen IF-Alpha
IF201503,Komputasi Evolusioner,1,3,Rabu,3,13:00-15:30,R09,Dosen IF-Golf
BD201410,Akuntansi Manajemen,1,3,Rabu,3,13:00-15:30,R10,Dosen BD-Echo
BD201422,Manajemen Bisnis Proses,1,3,Rabu,3,13:00-15:30,R11,Dosen BD-Delta
TE201423,Teknologi Transduser,1,3,Kamis,1,08:00-10:30,R01,Dosen TE-November
SI201411,Kecerdasan Bisnis,1,3,Kamis,1,08:00-10:30,R02,Dosen SI-Oscar
SI201415,Rekayasa Perangkat Lunak,1,4,Kamis,1,08:00-10:30,R03,Dosen SI-Mike
IF201402,Matematika Diskrit,3,3,Kamis,1,08:00-10:30,R04,Dosen IF-Charlie
IF201404,Pemrograman Berorientasi Objek,1,3,Kamis,1,08:00-10:30,R05,Dosen IF-Delta
IF201412,Teori Graf dan Otomata,2,3,Kamis,1,08:00-10:30,R06,Dosen IF-Foxtrot
IF201414,Grafika Komputer,2,3,Kamis,1,08:00-10:30,R07,Dosen IF-Kilo
IF201415,Analisis dan Perancangan Perangkat Lunak,1,3,Kamis,1,08:00-10:30,R08,Dosen IF-India
IF201513,Pemrograman Permainan Digital,1,3,Kamis,1,08:00-10:30,R09,Dosen IF-Golf
BD201421,Manajemen Keuangan,2,3,Kamis,1,08:00-10:30,R10,Dosen BD-Bravo
BD201406,Manajemen Pemasaran,2,3,Kamis,1,08:00-10:30,R11,Dosen BD-India
BD201429,Manajemen Strategi,2,3,Kamis,1,08:00-10:30,R12,Dosen BD-Delta
TE201404,Material Teknik Elektro,2,2,Kamis,2,10:30-12:00,R01,Dosen TE-Delta
TE201566,Manajemen Proyek,1,2,Kamis,2,10:30-12:00,R02,Dosen TE-Kilo
SI201426,Inovasi dan Transformasi Digital,1,2,Kamis,2,10:30-12:00,R03,Dosen SI-Kilo
SI201632,Kerja Praktek,1,2,Kamis,2,10:30-12:00,R04,Dosen SI-Hotel
BD201407,Sistem Basis Data,3,2,Kamis,2,10:30-12:00,R05,Dosen BD-Alpha
TE201423,Teknologi Transduser,2,3,Kamis,3,13:00-15:30,R01,Dosen TE-November
TE201427,Sistem Mikroprosesor dan Mikrokontroler,1,3,Kamis,3,13:00-15:30,R02,Dosen TE-Charlie
SI201550,Kecerdasan Proses Bisnis,1,3,Kamis,3,13:00-15:30,R03,Dosen SI-Lima
